Al,"Al	26.98154	Al.pbe-n-kjpaw_psl.1.0.0.UPF"
Co,"Co	58.93319	Co.pbe-spn-kjpaw_psl.1.0.0.UPF"
Cr,"Cr	51.9961	    Cr.pbe-spn-kjpaw_psl.1.0.0.UPF"
Cu,"Cu	63.546	    Cu.pbe-spn-kjpaw_psl.1.0.0.UPF"
Fe,"Fe	55.845	    Fe.pbe-spn-kjpaw_psl.1.0.0.UPF"
Ga,"Ga	69.723	    Ga.pbe-dn-kjpaw_psl.1.0.0.UPF"
Ge,"Ge	72.630	    Ge.pbe-dn-kjpaw_psl.1.0.0.UPF"
Hf,"Hf	178.49	    Hf.pbe-spn-kjpaw_psl.1.0.0.UPF"
Mn,"Mn	54.93804	Mn.pbe-spn-kjpaw_psl.0.3.1.UPF"
Ni,"Ni	58.93319	Ni.pbe-spn-kjpaw_psl.1.0.0.UPF"
Sc,"Sc	44.95591	Sc.pbe-spn-kjpaw_psl.1.0.0.UPF"
Si,"Si	28.084	    Si.pbe-n-kjpaw_psl.1.0.0.UPF"
Sn,"Sn	118.710	    Sn.pbe-dn-kjpaw_psl.1.0.0.UPF"
Ta,"Ta	180.9479	Ta.pbe-spn-kjpaw_psl.1.0.0.UPF"
Ti,"Ti	47.867	    Ti.pbe-spn-kjpaw_psl.1.0.0.UPF"
V,"V	50.9415	    V.pbe-spnl-kjpaw_psl.1.0.0.UPF"
W,"W	183.84	    W.pbe-spn-kjpaw_psl.1.0.0.UPF"
Y,"Y	88.90594	Y.pbe-spn-kjpaw_psl.1.0.0.UPF"
Zn,"Zn	65.38		Zn.pbe-dnl-kjpaw_psl.1.0.0.UPF"
Zr,"Zr	91.224	    Zr.pbe-spn-kjpaw_psl.1.0.0.UPF"
